Time,Temp,Press,KE,PE,Etot,Vol
0.999,748.248846592942,-12421.2322582392,290.059544465653,-13425.6350330129,-13135.5754885473,63636.2056137349
1.999,292.253572068496,-165.256026785799,113.292440567923,-14111.8811258077,-13998.5886852397,56208.6226588802
2.999,302.67109228481,115.520710369136,117.330804518853,-14149.6560400021,-14032.3252354833,55961.2151421762
3.999,309.760033987074,-38.889812917637,120.078841098214,-14163.9660211316,-14043.8871800334,55875.4551894201
4.999,297.150619264616,-90.879907803605,115.190786666819,-14176.5918005915,-14061.4010139247,55798.974020305
5.999,316.786847190114,-340.32178749357,122.802793491859,-14178.1717900027,-14055.3689965109,55815.4023030117
6.999,312.427112199798,-89.3075361101529,121.112737100806,-14181.3867613436,-14060.2740242428,55772.6726507672
7.999,315.189063662955,-877.73204597717,122.183410830392,-14184.0027562416,-14061.8193454112,55806.8873657842
8.999,312.437291386202,151.482208191592,121.116683074375,-14182.8662936281,-14061.7496105538,55754.8666589793
9.999,305.48706899654,-158.677306274703,118.422421199519,-14188.708772475,-14070.2863512755,55739.8423871621
10.999,316.124259009114,-301.68937552197,122.545940405049,-14190.1251330042,-14067.5791925991,55739.8138324623
11.999,312.018892768475,-256.787758198489,120.954490358656,-14192.0653177655,-14071.1108274069,55732.2610101327
12.999,312.994414070664,603.401196806661,121.332652337545,-14192.3301842648,-14070.9975319272,55672.5064270596
13.999,311.998931481545,1775.8875043121,120.946752342325,-14192.7971118492,-14071.8503595069,55608.2075223085
14.999,323.593258850363,-838.769238511279,125.441306968501,-14199.8121808665,-14074.370873898,55723.9837368883
15.999,315.890138112592,-323.172884954399,122.455183164454,-14194.986450848,-14072.5312676836,55721.9233782253
16.999,320.06987172346,-166.62788310439,124.075461809288,-14201.8077091587,-14077.7322473494,55664.367346379
17.999,326.303725857948,-552.252476451281,126.492022688397,-14199.1317892835,-14072.6397665951,55710.9907807515
18.999,323.161025686639,-818.308305141487,125.273751274772,-14201.3858671436,-14076.1121158688,55711.8362066827
19.999,328.318882493893,606.179418559297,127.273200525838,-14200.2403768515,-14072.9671763257,55640.3153506073
20.999,325.650266495388,630.640639109358,126.238708398781,-14203.3991142796,-14077.1604058808,55620.9176879386
21.999,323.925548658141,-1873.61139888645,125.570119502879,-14201.1153338822,-14075.5452143793,55773.2859977891
22.999,333.096061541135,30.9726532589291,129.125079595995,-14202.3530557078,-14073.2279761118,55657.8711852445
23.999,324.707386645093,956.396039088281,125.873199917067,-14198.125493554,-14072.2522936369,55633.0176585179
24.999,332.330043276081,781.074996298689,128.828131715586,-14198.8999325615,-14070.0718008459,55643.8755348211
25.999,329.178407650116,556.423278709782,127.606396462465,-14201.2776954004,-14073.6712989379,55640.5756670868
26.999,333.00603141967,-1684.26092768079,129.090179313636,-14196.2259049188,-14067.1357256052,55790.6175971135
27.999,329.988399384945,-999.518506525112,127.920390710095,-14199.2341417556,-14071.3137510455,55735.6335216805
28.999,333.03276473817,1123.41635633021,129.10054251596,-14193.8762723489,-14064.7757298329,55645.7742318933
29.999,330.180277973989,263.006655518272,127.994772670567,-14199.5056478298,-14071.5108751592,55654.5208462765
30.999,338.158082032948,337.527951114809,131.087377786786,-14195.5879572358,-14064.5005794491,55689.9108588547
31.999,339.64093605312,1408.6187019522,131.662207889844,-14204.1456794699,-14072.4834715801,55577.9132505239
32.999,340.171819993137,340.833798525665,131.868005672903,-14197.1601920915,-14065.2921864186,55675.090666396
33.999,334.500698558044,-1042.5349927918,129.669588785844,-14197.5256586584,-14067.8560698725,55750.3286646241
34.999,344.725885029079,484.386480453786,133.633394334452,-14201.6361203351,-14068.0027260007,55640.2522292169
35.999,351.320888545919,633.654422635182,136.189955195928,-14196.5087857652,-14060.3188305693,55664.6246789037
36.999,345.889928348531,380.621990150492,134.08463709482,-14201.5957291873,-14067.5110920925,55646.5143060264
37.999,339.934682445905,-441.618392863576,131.776079024116,-14199.491783255,-14067.7157042308,55719.0717850025
38.999,347.824145105701,-422.058391953752,134.834438493161,-14199.6423403432,-14064.80790185,55714.1314286612
39.999,350.457836516124,1793.31403850575,135.855392062617,-14202.609610623,-14066.7542185604,55573.9301859156
40.999,339.687252246823,-335.174070860989,131.680162416748,-14202.9038951733,-14071.2237327566,55681.233667938
41.999,353.637847762248,-1197.04779957913,137.088127158229,-14203.4224178557,-14066.3342906974,55737.49377053
42.999,351.847766206253,-107.105664003506,136.394199939961,-14205.8333795263,-14069.4391795864,55655.6909676302
43.999,348.139508841232,189.827332261717,134.956689615746,-14198.7392606116,-14063.7825709959,55689.4510395024
44.999,349.944264524256,1116.44230307819,135.656305276597,-14205.6651263127,-14070.0088210361,55598.9952653204
45.999,354.629533318244,-261.086351284207,137.472555229098,-14207.2954732465,-14069.8229180174,55671.4585037425
46.999,360.196052902597,-1772.48796525411,139.630423085826,-14205.7105839476,-14066.0801608618,55766.9548332984
47.999,356.421306812511,957.468267032439,138.167138329224,-14208.7632625867,-14070.5961242574,55596.4586125287
48.999,352.713964931666,1049.75570587901,136.729982893526,-14207.2668563676,-14070.5368734741,55606.6591755973
49.999,353.537995926911,210.666498504016,137.049419476949,-14210.9934117427,-14073.9439922658,55624.0663428519
50.999,366.974218627674,-428.750856387182,142.257986992513,-14210.9509107231,-14068.6929237306,55664.1885347641
51.999,355.851107205318,-1578.91473489226,137.946099781594,-14211.2112763402,-14073.2651765586,55735.3167270552
52.999,372.935103837966,765.85158115621,144.568731147459,-14211.5841573613,-14067.0154262139,55614.7449278355
53.999,358.652165951752,690.741128175103,139.031933495487,-14214.7545038161,-14075.7225703206,55590.5206839462
