Temp,Vol,Etot,dV/dT,alpha,alpha_smooth
855,56059.451,-13852.05609,3.494936552,6.23E-05,7.94E-05
860,56101.67886,-13840.71121,8.923303322,0.000159056,7.14E-05
865,56148.68403,-13836.6229,3.580071899,6.38E-05,6.91E-05
870,56137.47958,-13832.75628,1.520650054,2.71E-05,6.77E-05
875,56163.89053,-13830.10882,4.139059502,7.37E-05,4.57E-05
880,56178.87017,-13826.18014,-0.875725232,-1.56E-05,1.93E-05
885,56155.13328,-13825.01342,0.442596973,7.88E-06,-7.10E-06
890,56183.29614,-13818.56659,2.981410286,5.31E-05,2.11E-06
895,56184.94738,-13817.98302,-4.65296738,-8.28E-05,3.50E-05
900,56136.76647,-13824.16066,1.281096561,2.28E-05,2.12E-05
905,56197.75835,-13812.01294,1.972843748,3.51E-05,5.41E-07
910,56156.4949,-13812.58237,5.658649933,0.000100766,-2.69E-05
915,56254.34484,-13802.12681,2.598586354,4.62E-05,-6.11E-05
920,56182.48077,-13781.27036,-14.37281532,-0.000255824,-0.000102073
